s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 1.5960000E+003, 1.5300038E+002, 9.0000015E-001, 8.8869765E-009, 2.2539078E-016, 7.5111106E-002
 1.6080000E+003, 1.5400038E+002, 9.0000010E-001, 5.0748885E-009, 3.1892961E-016, 7.5101562E-002
 1.6200000E+003, 1.5500038E+002, 9.0000004E-001, 2.8276370E-009, 4.5055652E-016, 7.5095899E-002
 1.6320000E+003, 1.5600038E+002, 9.0000004E-001, 1.5359174E-009, 6.3548366E-016, 7.5092658E-002
 1.6440000E+003, 1.5700038E+002, 9.0000004E-001, 8.1258705E-010, 8.9488057E-016, 7.5090840E-002
 1.6560000E+003, 1.5800038E+002, 9.0000004E-001, 4.1833934E-010, 1.2581608E-015, 7.5089917E-002
 1.6680000E+003, 1.5900038E+002, 8.9999998E-001, 2.0937806E-010, 1.7661291E-015, 7.5089335E-002
 1.6800000E+003, 1.6000038E+002, 8.9999998E-001, 1.0177748E-010, 2.4753045E-015, 7.5089067E-002
 1.6920000E+003, 1.6100038E+002, 8.9999998E-001, 4.8001193E-011, 3.4638531E-015, 7.5088911E-002
 1.7040000E+003, 1.6200038E+002, 8.9999998E-001, 2.1942236E-011, 4.8397129E-015, 7.5088888E-002
 1.7160000E+003, 1.6300038E+002, 8.9999998E-001, 9.7112153E-012, 6.7517072E-015, 7.5088814E-002
 1.7280000E+003, 1.6400038E+002, 8.9999998E-001, 4.1567309E-012, 9.4047246E-015, 7.5088806E-002
 1.7400000E+003, 1.6500038E+002, 8.9999998E-001, 1.7187930E-012, 1.3080416E-014, 7.5088784E-002
 1.7520000E+003, 1.6600038E+002, 8.9999998E-001, 6.8577603E-013, 1.8165382E-014, 7.5088829E-002
 1.7640000E+003, 1.6700038E+002, 8.9999998E-001, 2.6369865E-013, 2.5189494E-014, 7.5088844E-002
 1.7760000E+003, 1.6800038E+002, 8.9999998E-001, 9.7604149E-014, 3.4877930E-014, 7.5088821E-002
 1.7880000E+003, 1.6900038E+002, 8.9999998E-001, 3.4731898E-014, 4.8221714E-014, 7.5088799E-002
 1.8000000E+003, 1.7000038E+002, 8.9999998E-001, 1.1868383E-014, 6.6573232E-014, 7.5088829E-002
